date,ID,N_ID,Lats,Lons,mode,type,TOA,storm_ref_angle,Ua,Va,TOA_mods,Bsdist_mods,TE_dist,TV_dist,dTVdn,storm_u_OLD,storm_v_OLD,TE_BS,TV_BS,Tdd_BS
20160331,0215A1,SSJH,35.038000000000004,-87.4719,supercell,R,3/31/16 22:49,-60.0,17.8,3.6,,,-2.51,-2.08,-1.37,22.8,4.6,,,3.73
20160331,0215A2,SSJH,35.038000000000004,-87.4719,supercell,R,3/31/16 23:07,-30.0,16.6,3.3,,32.2,-5.0,-3.11,-0.82,22.8,4.6,,,3.73
20160331,0217A,,35.01545,-87.67165,supercell,R,3/31/16 22:32,-40.0,15.0,3.8,,10.6,-3.16,-2.96,-0.71,17.7,6.6,,,4.44
20160331,0218A,,34.968474,-87.669926,supercell,R,3/31/16 22:49,-22.0,17.8,3.6,,,-4.36,-3.24,-0.72,17.7,6.6,,,4.55
20160331,0220A,,35.151446,-87.744289,supercell,R,3/31/16 22:16,-6.0,15.4,3.9,,,-6.38,-3.32,-0.78,17.7,6.6,,,3.12
20160331,0221A,,35.052518,-87.680796,supercell,R,3/31/16 22:28,-19.0,19.2,7.7,,,-2.7,-2.53,-0.62,17.7,6.6,,,3.88
20160331,0222A,,35.084061,-87.71990500000004,supercell,R,3/31/16 22:16,-30.0,15.4,3.9,,10.5,-3.11,-2.62,-0.53,17.7,6.6,,,3.0
20160430,0101A,SDTR,34.6176,-87.1014,supercell,R,4/30/16 21:42,32.0,9.6,16.0,-1.0,,-6.38,-2.97,-0.53,13.5,14.8,,,4.47
20170301,0103A,,34.378112,-86.912166,supercell,R,3/1/17 19:45,-11.0,26.5,7.6,,,-16.88,-7.4,-2.47,27.6,7.4,333.72,299.66,6.11
20170301,0109A,,34.313122,-86.900077,supercell,R,3/1/17 19:50,15.0,25.6,7.3,,,-9.73,-6.23,-1.02,27.6,7.4,333.97,300.38,7.19
20170301,0217A,SDTR,34.6176,-87.1014,supercell,R,3/1/17 19:03,-55.0,29.2,7.3,,,-14.94,-8.79,-3.69,27.5,3.7,333.48,299.97,6.99
20170310,0102A,SHYL,34.2959,-87.5871,linear,NR,3/10/17 7:21,-66.0,21.5,-6.1,,,-9.59,-3.85,-1.01,26.3,-8.0,320.53,292.16,1.45
20170310,0103A,SCMT,34.8551,-86.0017,linear,NR,3/10/17 6:36,-54.0,25.1,-8.4,,,-11.26,-7.47,-1.29,26.3,-8.0,320.86,296.62,6.36
20170310,0104A,SLYN,35.3391,-87.0324,linear,R,3/10/17 5:25,-51.0,23.6,-7.9,,,-8.42,-3.98,-0.75,26.3,-8.0,320.55,293.69,3.39
20170310,0105A,SSBR,34.6224,-86.08,linear,NR,3/10/17 6:50,-57.0,24.5,-5.4,,,-10.22,-7.03,-1.53,26.3,-8.0,322.0,296.72,8.28
20170310,0107A,SCLM,34.19439000000001,-86.79825,linear,NR,3/10/17 7:22,-70.0,21.5,-3.1,,,-8.72,-5.07,-1.47,26.3,-8.0,321.63,294.14,4.1
20170310,0108A,SPBG,35.3236,-86.6347,linear,T,3/10/17 5:41,-60.0,21.3,-10.7,,,-19.24,-9.93,-2.12,26.3,-8.0,321.87,293.84,3.31
20170310,0109A,SLBG,35.3045,-87.5185,linear,NR,3/10/17 5:07,-68.0,24.1,-8.0,,,-17.9,-7.74,-1.2,26.3,-8.0,323.35,294.48,2.93
20170310,0110A,SDGS,34.1632,-86.3341,linear,NR,3/10/17 7:30,-37.0,23.8,-6.0,-1.0,,-7.1,-4.12,-0.88,26.3,-8.0,319.74,293.41,3.73
20170310,0111A,SLYS,34.5504,-86.5582,linear,NR,3/10/17 6:45,-56.0,24.5,-2.7,,,-8.06,-5.58,-1.26,26.3,-8.0,321.5,294.72,5.75
20170310,0112A,SLGN,34.7254,-87.4625,linear,NR,3/10/17 6:20,-68.0,18.8,-5.4,,,-8.51,-3.7,-1.1,26.3,-8.0,322.11,293.13,2.56
20170310,0213A,SHLG,34.9016,-86.5386,linear,NR,3/10/17 6:15,-26.0,24.0,-5.3,,,-11.37,-7.35,-0.92,26.3,-8.0,321.43,295.45,6.89
20170310,0214A,SEMT,34.9309,-86.9764,linear,NR,3/10/17 5:59,-60.0,21.4,-8.0,,,-10.26,-5.62,-1.01,26.3,-8.0,321.65,294.71,4.79
20170310,0215A,SSJH,35.038000000000004,-87.4719,linear,NR,3/10/17 5:35,-61.0,20.8,-5.2,-1.0,,-10.22,-3.27,-0.6,26.3,-8.0,322.38,293.75,2.74
20170310,0216A,STLM,35.3719,-86.0998,linear,T,3/10/17 6:09,-56.0,24.0,-5.3,,,-9.93,-6.12,-1.17,26.3,-8.0,320.64,295.01,5.52
20170310,0217A,SDTR,34.6176,-87.1014,linear,NR,3/10/17 6:27,-28.0,22.2,-5.6,,,-9.14,-4.73,-0.64,26.3,-8.0,321.44,293.17,3.18
20170321,0103A,SCMT,34.8551,-86.0017,linear,NR,3/21/17 22:31,,,,,,,,,,,,,
20170321,0104A,SLYN,35.3391,-87.0324,linear,R,3/21/17 21:12,-38.0,15.7,-3.1,,,-17.4,-11.1,-5.29,15.2,-7.4,331.45,300.81,8.38
20170321,0105A,SSBR,34.6224,-86.08,linear,NR,3/21/17 22:49,,,,-1.0,,,,,,,,,
20170321,0107A,SCLM,34.19439000000001,-86.79825,linear,NR,3/21/17 23:27,,,,,,,,,,,,,
20170321,0109A,SLBG,35.3045,-87.5185,linear,NR,3/21/17 20:49,,,,,,,,,,,,,
20170321,0110A,SDGS,34.1632,-86.3341,linear,NR,3/21/17 23:41,,,,,,,,,,,,,
20170321,0111A,SLYS,34.5504,-86.5582,linear,NR,3/21/17 22:46,,,,-1.0,,,,,,,,,
20170321,0213A,SHLG,34.9016,-86.5386,linear,NR,3/21/17 22:10,,,,,,,,,,,,,
20170321,0214A,SEMT,34.9309,-86.9764,linear,NR,3/21/17 21:52,,,,,,,,,,,,,
20170321,0215A,SSJH,35.038000000000004,-87.4719,linear,NR,3/21/17 21:22,,,,,,,,,,,,,
20170321,0216A,STLM,35.3719,-86.0998,linear,NR,3/21/17 22:11,,,,,,,,,,,,,
20170321,0217A,SDTR,34.6176,-87.1014,linear,NR,3/21/17 22:29,,,,,,,,,,,,,
20170325,0108A,SPBG,35.3236,-86.6347,mixed,R,3/25/17 19:46,26.0,7.0,20.9,7.0,,-5.85,-6.04,-1.42,7.6,18.5,323.06,297.97,9.85
20170325,0214A,SEMT,34.9309,-86.9764,mixed,R,3/25/17 18:58,32.0,7.1,17.8,,,-8.94,-7.89,-2.21,7.6,18.5,323.4,297.87,9.24
20170325,0217A,SDTR,34.6176,-87.1014,mixed,R,3/25/17 18:30,20.0,7.4,18.5,,,-8.51,-7.49,-1.76,7.6,18.5,324.89,298.4,10.07
20170327,0110A,SDGS,34.1632,-86.3341,mixed,R,3/28/17 0:00,-28.0,13.5,-3.4,-4.0,,-5.76,-2.68,-0.53,18.4,-3.7,326.33,295.22,2.54
20170327,0213A,SHLG,34.9016,-86.5386,mixed,R,3/27/17 21:46,-42.0,17.1,10.2,,,-6.02,-4.69,-2.1,18.3,7.3,326.82,297.7,7.13
20170327,0214A,SEMT,34.9309,-86.9764,mixed,R,3/27/17 20:53,-38.0,13.5,6.8,,,-5.49,-6.29,-2.57,15.2,3.7,328.2,299.6,8.65
20170327,0217A,SDTR,34.6176,-87.1014,mixed,R,3/27/17 21:20,-41.0,16.2,6.5,,,-1.27,-5.1,-1.47,15.3,3.7,326.9,299.32,9.89
20170327,0222A,,34.545342,-87.30810699999998,mixed,R,3/27/17 21:09,-40.0,17.3,6.9,,8.5,-7.13,-7.85,-2.6,18.4,3.7,326.4,299.29,9.72
20170430,0102A,SHYL,34.2959,-87.5871,linear,R,4/30/17 18:08,32.0,11.4,19.0,,,-10.84,-5.94,-0.92,12.3,9.9,340.39,301.76,5.89
20170430,0103A,SCMT,34.8551,-86.0017,linear,NR,4/30/17 20:42,25.0,10.1,17.6,,,-5.62,-5.77,-1.72,12.3,9.9,336.79,303.25,7.63
20170430,0104A,SLYN,35.3391,-87.0324,linear,NR,4/30/17 19:29,-1.0,12.4,18.6,,,-9.8,-7.23,-1.8,12.3,9.9,336.93,302.4,7.93
20170430,0105A,SSBR,34.6224,-86.08,linear,NR,4/30/17 20:29,10.0,12.3,9.8,,,-7.54,-6.72,-2.1,12.3,9.9,340.76,304.2,9.6
20170430,0106A,SADN,34.2149,-87.1619,linear,R,4/30/17 18:47,32.0,10.8,18.1,1.0,,-12.81,-8.16,-2.59,12.3,9.9,340.03,303.08,7.71
20170430,0107A,SCLM,34.19439000000001,-86.79825,linear,T,4/30/17 19:08,27.0,13.1,16.3,,,-7.85,-7.26,-2.19,12.3,9.9,339.61,303.66,9.18
20170430,0108A,SPBG,35.3236,-86.6347,linear,NR,4/30/17 20:01,36.0,12.3,17.2,,,-4.79,-5.52,-1.16,12.3,9.9,339.32,302.72,7.88
20170430,0109A,SLBG,35.3045,-87.5185,linear,NR,4/30/17 18:28,-10.0,11.4,22.8,,,-8.75,-4.83,-2.95,12.3,9.9,337.67,301.49,6.11
20170430,0110A,SDGS,34.1632,-86.3341,linear,NR,4/30/17 20:01,2.0,12.3,12.3,,,-11.22,-8.02,-1.52,12.3,9.9,339.89,303.51,8.7
20170430,0111A,SLYS,34.5504,-86.5582,linear,R,4/30/17 19:43,29.0,10.7,16.0,1.0,,-7.44,-6.93,-2.48,12.3,9.9,340.6,303.31,8.95
20170430,0112A,SLGN,34.7254,-87.4625,linear,R,4/30/17 18:36,8.0,10.5,17.5,,,-6.36,-5.52,-1.48,12.3,9.9,339.78,303.29,8.97
20170430,0213A,SHLG,34.9016,-86.5386,linear,NR,4/30/17 19:55,19.0,11.0,16.5,,,-10.38,-7.43,-1.25,12.3,9.9,340.2,303.27,8.92
20170430,0214A,SEMT,34.9309,-86.9764,linear,R,4/30/17 19:21,20.0,12.4,15.5,,,-4.51,-5.6,-1.35,12.3,9.9,337.86,302.7,8.32
20170430,0215A,SSJH,35.038000000000004,-87.4719,linear,NR,4/30/17 18:33,-1.0,10.6,17.6,,,-6.96,-4.75,-1.1,12.3,9.9,336.75,301.41,6.78
20170430,0216A,STLM,35.3719,-86.0998,linear,NR,4/30/17 20:47,7.0,12.6,17.6,,,-7.81,-6.6,-1.66,12.3,9.9,338.61,303.26,8.59
20170430,0217A,SDTR,34.6176,-87.1014,linear,R,4/30/17 18:56,5.0,10.5,21.1,,,-10.67,-7.96,-1.6,12.3,9.9,339.81,303.24,9.03
20170430,0218A,,34.448161999999996,-87.21975,linear,R,4/30/17 18:38,-14.0,14.0,14.0,,,-11.71,-8.69,-2.13,12.3,9.9,339.06,303.38,9.39
20170430,0219A,,34.394484999999996,-87.12022900000002,linear,NR,4/30/17 18:51,6.0,10.5,17.5,,,-11.11,-7.61,-1.42,12.3,9.9,339.52,303.77,9.73
20170430,0220A,,34.639214,-87.500392,linear,R,4/30/17 18:32,35.0,10.6,17.6,,,-9.17,-5.83,-1.54,12.3,9.9,339.53,302.45,7.9
20170430,0221A,,34.523322,-87.296503,linear,R,4/30/17 18:37,30.0,14.0,14.0,,,-7.94,-6.55,-1.07,12.3,9.9,340.48,303.42,8.77
20170430,0222A,,34.472091,-87.26764,linear,R,4/30/17 18:36,14.0,14.0,14.0,,,-9.35,-8.55,-2.96,12.3,9.9,341.23,302.87,7.45
20170430,0224A,,34.420291,-87.16901999999996,linear,NR,4/30/17 18:46,17.0,14.4,18.1,,,-9.17,-7.2,-1.07,12.3,9.9,338.73,303.18,9.21
20170422,0102A,SHYL,34.2959,-87.5871,supercell,R,4/22/17 21:26,-50.0,16.3,-2.7,,,-11.37,-4.87,-1.14,11.0,-7.9,338.09,301.54,6.37
20170422,0103A,SCMT,34.8551,-86.0017,supercell,T,4/22/17 22:49,36.0,18.9,-2.7,,,-10.18,-4.09,-0.91,21.2,-5.7,333.8,298.87,2.02
20170422,0106A,SADN,34.2149,-87.1619,supercell,T,4/22/17 22:25,-44.0,12.7,-2.5,,,-16.24,-8.03,-1.83,11.0,-7.9,337.33,300.48,4.73
20170422,0107A,SCLM,34.19439000000001,-86.79825,supercell,R,4/22/17 23:10,-9.0,14.4,2.9,,,-8.83,-3.69,-0.88,11.0,-7.9,336.12,299.16,3.6
20170422,0213A,SHLG,34.9016,-86.5386,supercell,R,4/22/17 22:00,-42.0,18.1,-2.6,,,-12.48,-6.8,-1.74,21.2,-5.7,335.25,300.14,6.04
20170422,0214A,SEMT,34.6176,-87.1014,supercell,NR,4/22/17 21:31,-51.0,18.8,2.7,,,-12.43,-4.3,-1.51,21.2,-5.7,336.8,299.58,3.69
